SampleID	Year	Treatment	Location	Plant
WRC15-2M	2015	M	bulk	none
WRC15-2MF	2015	MF	bulk	none
WRC15-4M	2015	M	bulk	none
WRC15-4MF	2015	MF	bulk	none
WRC15-6M	2015	M	bulk	none
WRC15-6MF	2015	MF	bulk	none
WRC15-8M	2015	M	bulk	none
WRC15-8MF	2015	MF	bulk	none
WRC15-AV-RP-2M	2015	M	rhizoplane	AV
WRC15-AV-RP-2MF	2015	MF	rhizoplane	AV
WRC15-AV-RP-4M	2015	M	rhizoplane	AV
WRC15-AV-RP-4MF	2015	MF	rhizoplane	AV
WRC15-AV-RP-6M	2015	M	rhizoplane	AV
WRC15-AV-RP-6MF	2015	MF	rhizoplane	AV
WRC15-AV-RP-8M	2015	M	rhizoplane	AV
WRC15-AV-RP-8MF	2015	MF	rhizoplane	AV
WRC15-AV-RS-2M	2015	M	rhizosphere	AV
WRC15-AV-RS-2MF	2015	MF	rhizosphere	AV
WRC15-AV-RS-4M	2015	M	rhizosphere	AV
WRC15-AV-RS-4MF	2015	MF	rhizosphere	AV
WRC15-AV-RS-6M	2015	M	rhizosphere	AV
WRC15-AV-RS-6MF	2015	MF	rhizosphere	AV
WRC15-AV-RS-8M	2015	M	rhizosphere	AV
WRC15-AV-RS-8MF	2015	MF	rhizosphere	AV
WRC15-EC-RP-2M	2015	M	rhizoplane	EC
WRC15-EC-RP-2MF	2015	MF	rhizoplane	EC
WRC15-EC-RP-4M	2015	M	rhizoplane	EC
WRC15-EC-RP-4MF	2015	MF	rhizoplane	EC
WRC15-EC-RP-6M	2015	M	rhizoplane	EC
WRC15-EC-RP-6MF	2015	MF	rhizoplane	EC
WRC15-EC-RP-8M	2015	M	rhizoplane	EC
WRC15-EC-RP-8MF	2015	MF	rhizoplane	EC
WRC15-EC-RS-2M	2015	M	rhizosphere	EC
WRC15-EC-RS-2MF	2015	MF	rhizosphere	EC
WRC15-EC-RS-4M	2015	M	rhizosphere	EC
WRC15-EC-RS-4MF	2015	MF	rhizosphere	EC
WRC15-EC-RS-6M	2015	M	rhizosphere	EC
WRC15-EC-RS-6MF	2015	MF	rhizosphere	EC
WRC15-EC-RS-8M	2015	M	rhizosphere	EC
WRC15-EC-RS-8MF	2015	MF	rhizosphere	EC
